F,date,ticker,name,grp,r,y
2번 조정매집,20241113,000400,롯데손해보험,생존,0.8100497512437721,2024
2번 조정매집,20211006,001380,SG글로벌,생존,13.283529997510572,2021
2번 조정매집,20211007,001380,SG글로벌,생존,11.62443694236797,2021
2번 조정매집,20220615,001520,동양,생존,-7.277560975609761,2022
2번 조정매집,20200319,001550,조비,생존,111.84578018995927,2020
2번 조정매집,20240807,001780,알루코,생존,3.8200000000000047,2024
2번 조정매집,20200319,002100,경농,생존,73.65625632377741,2020
2번 조정매집,20200320,002100,경농,생존,80.48439267886855,2020
2번 조정매집,20200323,002100,경농,생존,80.05699515347335,2020
2번 조정매집,20200317,002210,동성제약,생존,17.99826086956521,2020
2번 조정매집,20200319,002210,동성제약,생존,50.26626865671641,2020
2번 조정매집,20200320,002210,동성제약,생존,48.208046647230326,2020
2번 조정매집,20200323,002210,동성제약,생존,39.59782101167315,2020
2번 조정매집,20211201,002320,한진,생존,3.873521126760574,2021
2번 조정매집,20220929,002760,보락,생존,-0.08510948905109061,2022
2번 조정매집,20220217,002900,TYM,생존,16.622986857825566,2022
2번 조정매집,20220613,003000,부광약품,생존,-5.992954876273656,2022
2번 조정매집,20220926,003160,디아이,생존,-9.285147864184003,2022
2번 조정매집,20220927,003160,디아이,생존,-12.964140969162992,2022
2번 조정매집,20220928,003160,디아이,생존,-8.026240179573515,2022
2번 조정매집,20220929,003160,디아이,생존,0.14850241545894316,2022
2번 조정매집,20220930,003160,디아이,생존,-2.3163636363636355,2022
2번 조정매집,20190730,003350,한국화장품제조,생존,16.611411042944795,2019
2번 조정매집,20190807,003350,한국화장품제조,생존,29.3410918114144,2019
2번 조정매집,20220920,003520,영진약품,생존,-7.486306306306308,2022
2번 조정매집,20220905,003780,진양산업,생존,7.515652173913038,2022
2번 조정매집,20200316,004060,SG세계물산,생존,13.574976303317534,2020
2번 조정매집,20200317,004060,SG세계물산,생존,21.18896551724138,2020
2번 조정매집,20260729,004060,SG세계물산,생존,22.2538747099768,2026
2번 조정매집,20240806,004560,현대비앤지스틸,생존,10.739190404797597,2024
2번 조정매집,20240807,004560,현대비앤지스틸,생존,9.104984984984991,2024
2번 조정매집,20190805,004870,티웨이홀딩스,생존,7.553153638814017,2019
2번 조정매집,20190806,004870,티웨이홀딩스,생존,38.94125534950071,2019
2번 조정매집,20190807,004870,티웨이홀딩스,생존,62.8150239914697,2019
2번 조정매집,20220622,005320,온타이드,생존,4.050769230769239,2022
2번 조정매집,20210820,005740,크라운해태홀딩스,생존,8.349147982062792,2021
2번 조정매집,20210823,005740,크라운해태홀딩스,생존,2.579398496240607,2021
2번 조정매집,20220624,006390,한일현대시멘트,폐지,-2.7150877192982446,2022
2번 조정매집,20220622,006660,삼성공조,생존,2.820000000000004,2022
2번 조정매집,20220623,006660,삼성공조,생존,10.166765641569468,2022
2번 조정매집,20200318,007110,일신석재,생존,18.605714285714285,2020
2번 조정매집,20200319,007110,일신석재,생존,46.10111587982832,2020
2번 조정매집,20200320,007110,일신석재,생존,48.23774891774892,2020
2번 조정매집,20211005,007280,한국특강,생존,-5.002969543147203,2021
2번 조정매집,20211006,007280,한국특강,생존,2.984497657470068,2021
2번 조정매집,20211007,007280,한국특강,생존,-4.097472598323667,2021
2번 조정매집,20200318,007540,샘표,생존,21.699684418145964,2020
2번 조정매집,20200319,007540,샘표,생존,46.73666666666667,2020
2번 조정매집,20200323,007540,샘표,생존,38.213939393939405,2020
2번 조정매집,20190806,007610,선도전기,생존,21.780151802656537,2019
2번 조정매집,20190807,007610,선도전기,생존,15.973284671532852,2019
2번 조정매집,20220908,007860,서연,생존,-10.798573797678277,2022
2번 조정매집,20190807,008250,이건산업,생존,17.43861861861862,2019
2번 조정매집,20240806,008350,남선알미늄,생존,7.298260869565224,2024
2번 조정매집,20240807,008350,남선알미늄,생존,4.802905982905984,2024
2번 조정매집,20220623,008600,윌비스,생존,11.396722640416915,2022
2번 조정매집,20200317,008700,아남전자,생존,6.527407407407418,2020
2번 조정매집,20200318,008700,아남전자,생존,25.342222222222215,2020
2번 조정매집,20200319,008700,아남전자,생존,54.93643543223051,2020
2번 조정매집,20240806,008700,아남전자,생존,4.788992248062022,2024
2번 조정매집,20240807,008700,아남전자,생존,3.316951219512191,2024
2번 조정매집,20241206,008970,KBI동양철관,생존,7.267512864494001,2024
2번 조정매집,20230814,009200,무림페이퍼,생존,6.70288288288288,2023
2번 조정매집,20220518,009470,삼화전기,생존,1.6584279475982544,2022
2번 조정매집,20220519,009470,삼화전기,생존,1.2009523809523726,2022
2번 조정매집,20220623,009470,삼화전기,생존,12.13269349845201,2022
2번 조정매집,20220624,009470,삼화전기,생존,-0.3512707182320407,2022
2번 조정매집,20200317,010040,한국내화,생존,10.508311688311682,2020
2번 조정매집,20200318,010040,한국내화,생존,9.510423162583528,2020
2번 조정매집,20200319,010040,한국내화,생존,41.32000000000001,2020
2번 조정매집,20200320,010040,한국내화,생존,43.98129032258065,2020
2번 조정매집,20200820,011280,태림포장,생존,38.89987421383648,2020
2번 조정매집,20190806,011760,현대코퍼레이션,생존,14.877575757575748,2019
2번 조정매집,20190807,011760,현대코퍼레이션,생존,7.840930232558132,2019
