date,ticker,name,grp,y,sret60,r
20200313,020150,롯데에너지머티리얼즈,생존,2020,-24.58384779999319,-2.9372005383580064
20200319,020150,롯데에너지머티리얼즈,생존,2020,-44.38864459026883,69.70368200836822
20190605,020760,일진디스플,생존,2019,,6.581640798226155
20200313,020760,일진디스플,생존,2020,,-9.68626223091977
20211119,020760,일진디스플,생존,2021,,-4.339126365054598
20181030,021240,코웨이,생존,2018,-27.76872440807539,12.210448625180904
20200319,022100,포스코DX,생존,2020,-43.16809889421591,48.56874791318865
20211201,023530,롯데쇼핑,생존,2021,-17.743153267416414,4.909221556886237
20260807,023530,롯데쇼핑,생존,2026,-12.475944312655447,1.7199999999999909
20190814,024720,콜마홀딩스,생존,2019,-24.66740650164623,8.667869977791245
20181030,025560,미래산업,생존,2018,-16.246385933803285,10.720262147168196
20200504,025560,미래산업,생존,2020,-16.685649721933142,-5.0878842881452035
20190725,025620,차AI헬스케어,생존,2019,-27.561110574197436,-16.549547336538193
20190730,025620,차AI헬스케어,생존,2019,-29.19780358767698,-17.69452592179888
20190805,025620,차AI헬스케어,생존,2019,-30.989065969811517,13.260288032750935
20200313,025620,차AI헬스케어,생존,2020,-20.73700889328359,20.341534962416436
20200317,025620,차AI헬스케어,생존,2020,-21.902667929385178,37.73555687281828
20200319,025620,차AI헬스케어,생존,2020,-33.18192710872827,98.62110375275938
