종목코드,회사명,시장구분,상장일
200130,콜마비앤에이치,코스닥,2014-07-23
133820,화인베스틸,유가,2014-07-22
105550,엣지파운드리,코스닥,2014-07-11
136660,큐엠씨,코넥스,2014-07-01
199150,데이터스트림즈,코넥스,2014-06-25
196450,코아시아씨엠,코스닥,2014-06-02
071850,캐스텍코리아,코스닥,2014-05-27
027410,BGF,유가,2014-05-19
187790,나노,코스닥,2014-05-08
192250,케이사인,코스닥,2014-04-28
192820,코스맥스,유가,2014-04-07
138080,오이솔루션,코스닥,2014-02-27
138080,오이솔루션,코스닥,2014-02-27
053300,한국정보인증,코스닥,2014-02-04
154040,다산솔루에타,코스닥,2013-12-27
090850,현대이지웰,코스닥,2013-12-27
140660,위월드,코넥스,2013-12-26
189350,코셋,코넥스,2013-12-24
189350,코셋,코넥스,2013-12-24
184230,SGA솔루션즈,코스닥,2013-12-20
178600,대동고려삼,코넥스,2013-12-20
049080,기가레인,코스닥,2013-12-19
085810,알티캐스트,코스닥,2013-12-06
185750,종근당,유가,2013-12-06
170030,현대공업,코스닥,2013-12-04
067570,엔브이에이치코리아,코스닥,2013-12-03
134580,탑코미디어,코스닥,2013-11-26
006880,신송홀딩스,유가,2013-11-21
182360,큐브엔터,코스닥,2013-11-21
171120,라이온켐텍,코스닥,2013-11-19
171010,램테크놀러지,코스닥,2013-11-18
138360,앤로보틱스,코스닥,2013-11-08
183190,아세아시멘트,유가,2013-11-06
076610,해성옵틱스,코스닥,2013-11-06
168330,내츄럴엔도텍,코스닥,2013-10-31
064350,현대로템,유가,2013-10-30
185190,수프로,코넥스,2013-10-29
131970,두산테스나,코스닥,2013-10-22
150900,파수AI,코스닥,2013-10-18
170920,엘티씨,코스닥,2013-10-08
119850,지엔씨에너지,코스닥,2013-10-02
180640,한진칼,유가,2013-09-16
092040,아미코젠,코스닥,2013-09-12
181710,NHN,유가,2013-08-29
130500,GH신소재,코스닥,2013-08-02
170790,파이오링크,코스닥,2013-08-01
151860,KG에코솔루션,코스닥,2013-07-24
175330,JB금융지주,유가,2013-07-18
089600,KT나스미디어,코스닥,2013-07-17
114920,대주이엔티,코넥스,2013-07-01
179720,머니무브,코넥스,2013-07-01
116100,태양기계,코넥스,2013-07-01
950130,엑세스바이오,코스닥,2013-05-30
155660,DSR,유가,2013-05-15
141080,리가켐바이오,코스닥,2013-05-10
170900,동아에스티,유가,2013-04-08
097800,윈팩,코스닥,2013-03-07
104540,코렌텍,코스닥,2013-03-05
159580,제로투세븐,코스닥,2013-02-19
114810,한솔아이원스,코스닥,2013-02-07
