ticker,ksic
066310,2612
066330,75310
066340,2642
066350,292
066360,10121
066410,612
066430,467
066480,85701
066570,264
066590,303
066620,424
066670,681
066690,2592
066700,212
066790,60222
066850,27
066900,2622
066910,467
066930,21309
066970,28202
066980,721
067000,5821
067010,620
067080,212
067130,62090
067160,582
067170,304
067250,3111
067280,85650
067290,212
067310,2611
067370,212
067390,31322
067570,30320
067630,213
067730,62090
067770,26211
067830,47111
067850,59114
067900,38220
067910,68112
067920,639
067950,292
067990,451
068050,59114
068060,68112
068100,291
068150,424
068240,2811
068270,21100
068290,5811
068330,29171
068400,76110
068420,26
068630,2642
068760,212
068770,292
068790,292
068870,21212
068930,855
068940,26293
069080,5821
069110,20423
069140,25112
069260,2049
069330,26211
069410,58221
069460,24222
069470,63991
069510,26529
069540,264
069620,212
069640,4741
069730,24123
069920,479
069960,47111
070080,30
070300,58222
070480,29271
070540,68112
070590,62010
070960,55103
071050,64992
071090,2413
071200,582
071280,292
071320,35300
071360,26211
071460,28519
071530,15129
071660,2049
071670,29293
071840,47320
071850,303
071930,2629
071950,320
071970,29119
072020,211
072130,631
072430,2599
072450,68112
072470,303
072520,701
072530,2611
072710,64992
072770,620
072870,581
072950,262
072990,72911
073010,29111
073070,303
073110,262
073130,58221
073190,32091
073240,221
073470,68112
073490,2642
073530,68112
073540,2642
073560,101
073570,339
073640,25929
073710,631
073780,26
073930,58221
074000,68112
074130,26211
074140,26429
074150,42
074430,211
074600,2312
074610,29193
075130,620
075180,303
075580,31114
075970,239
076080,411
076090,29272
076170,25933
076610,273
076850,68112
077280,582
077360,261
077500,4659
077960,29271
077970,29111
078000,631
078020,66121
078070,64992
078130,179
078140,212
078150,29272
078160,211
078340,5821
078350,2611
078420,71531
078520,20423
078590,303
078600,2629
078610,2642
078650,27301
078670,26
078700,58221
078780,262
078860,591
078890,264
078930,64992
078940,464
079000,22222
079160,59141
079170,24229
079190,26422
079340,26211
079370,29271
079430,32029
079440,65110
079550,25200
079560,2629
079650,23322
079660,108
079810,289
079870,2622
079900,292
079940,58221
079950,29272
079960,2811
079970,58221
079980,20501
080000,292
080010,4610
080030,71531
080140,26
080160,75210
080180,76190
080220,2611
080410,71531
080420,474
080440,467
080470,303
080520,2612
080530,204
080570,41224
080580,262
080720,212
080960,71531
080970,71531
080980,71531
081000,204
081090,2642
081150,242
081180,291
081190,76190
081200,76190
081210,76190
081220,2612
081500,58221
081580,2642
081660,464
081930,76190
081940,76190
081970,58221
082110,71531
082210,273
082220,26422
082240,76190
082250,76190
082260,76190
082270,29271
082390,26211
082640,65110
082660,204
082740,29111
082800,212
082850,108
082920,28201
082930,2611
083120,71531
083160,64201
083310,29271
083350,761
083360,761
083370,761
083380,761
083390,761
083420,20421
083450,29271
083470,201
083500,29272
083550,139
083570,76190
083580,76190
083590,76190
083600,76190
083610,76190
083620,76190
083640,468
083650,29176
083660,204
083790,70113
083930,29272
084010,2411
084110,212
084160,64209
084180,29169
084240,71531
084370,29271
084440,582
084450,21100
084650,70113
084670,49220
084680,331
084690,64992
084730,264
084810,29271
