Symbol,Name,Market,SecuGroup,Kind,ListingDate,DelistingDate,Reason,ArrantEnforceDate,ArrantEndDate,Industry,ParValue,ListingShares,ToSymbol,ToName
74401773,맵스호주2호,KOSPI,수익증권,보통주,2017-06-12,2022-06-30,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,137478903.0,036320,미래에셋자산운용
00004217,KR모터스 1WR,KOSPI,신주인수권증권,보통주,2017-08-14,2022-06-29,신주인수권증권 행사기간 및 행사의 만료,,,,0.0,30439305.0,000040,KR모터스
00306217,에이프로젠제약 13WR,KOSPI,신주인수권증권,보통주,2017-08-09,2022-06-21,신주인수권증권 행사기간 및 행사의 만료,,,,0.0,12181109.0,003060,에이프로젠바이오로직스
70901B95,대신Japan하임03호A,KOSPI,수익증권,보통주,2019-08-09,2022-05-13,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,74943000.0,030660,대신자산운용
70902B95,대신Japan하임03호C-I,KOSPI,수익증권,보통주,2019-08-09,2022-05-13,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,4857000.0,030660,대신자산운용
70903B95,대신Japan하임03호C-W,KOSPI,수익증권,보통주,2019-08-09,2022-05-13,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,200000.0,030660,대신자산운용
153360,하이골드3호,KOSPI,선박투자회사,보통주,2012-05-04,2022-04-11,감사의견 부적정,2022-03-31,2022-04-08,일반서비스,5000.0,16149790.0,,
03402217,두산중공업 1WR,KOSPI,신주인수권증권,보통주,2017-05-26,2022-04-05,신주인수권증권 행사기간 및 행사의 만료,,,,0.0,9871834.0,034020,두산에너빌리티
138250,엔에스쇼핑,KOSPI,주권,보통주,2015-03-27,2022-03-22,지주회사(최대주주등)의 완전자회사화 등,,,유통,500.0,33696000.0,,
007630,폴루스바이오팜,KOSPI,주권,보통주,1988-10-24,2022-02-22,감사의견 의견거절 2년 계속,2022-02-11,2022-02-21,유통,500.0,45007695.0,,
00064217,동아쏘시오홀딩스 2WR,KOSPI,신주인수권증권,보통주,2017-03-31,2022-02-17,신주인수권증권 행사기간 및 행사의 만료,,,,0.0,585433.0,000640,동아쏘시오홀딩스
01193219,신성이엔지 37WR,KOSPI,신주인수권증권,보통주,2019-03-29,2022-02-08,신주인수권증권 행사기간 및 행사의 만료,,,,0.0,1200862.0,011930,신성이엔지
101060,SBS미디어홀딩스,KOSPI,주권,보통주,2008-03-24,2022-01-18,해산 사유 발생,,,일반서비스,500.0,139896190.0,,
015350,부산가스,KOSPI,주권,보통주,1997-06-23,2022-01-18,지주회사(최대주주등)의 완전자회사화 등,,,전기·가스,5000.0,11000000.0,,
172580,하이골드12호,KOSPI,선박투자회사,보통주,2013-07-12,2022-01-03,신청에 의한 상장폐지,,,일반서비스,5000.0,13044500.0,,
3655501F,ESR켄달스퀘어리츠 6R,KOSPI,신주인수권증서,보통주,2025-06-18,2025-06-25,,,,,0.0,32989539.0,,
0000401E,KR모터스 45R,KOSPI,신주인수권증서,보통주,2024-04-11,2024-04-18,,,,,0.0,30991237.0,,
0342201E,LG디스플레이 6R,KOSPI,신주인수권증서,보통주,2024-02-19,2024-02-26,,,,,0.0,113552003.0,,
4007601F,NH올원리츠 4R,KOSPI,신주인수권증서,보통주,2025-08-14,2025-08-22,,,,,0.0,11152755.0,,
0014401E,대한전선 57R,KOSPI,신주인수권증서,보통주,2024-02-22,2024-02-29,,,,,0.0,61924625.0,,
3771901E,디앤디플랫폼리츠 3R,KOSPI,신주인수권증서,보통주,2024-11-13,2024-11-20,,,,,0.0,23991863.0,,
3305901E,롯데리츠 4R,KOSPI,신주인수권증서,보통주,2024-10-18,2024-10-25,,,,,0.0,45982956.0,,
0889801E,맥쿼리인프라 9R,KOSPI,신주인수권증서,보통주,2024-09-19,2024-09-26,,,,,0.0,43024572.0,,
3572501D,미래에셋맵스리츠 3R,KOSPI,신주인수권증서,보통주,2023-12-26,2024-01-04,,,,,0.0,4892442.0,,
0030001F,부광약품 29R,KOSPI,신주인수권증서,보통주,2025-06-23,2025-06-30,,,,,0.0,24135781.0,,
4487301E,삼성FN리츠 3R,KOSPI,신주인수권증서,보통주,2024-08-23,2024-08-30,,,,,0.0,13744944.0,,
0064001F,삼성SDI 40R,KOSPI,신주인수권증서,보통주,2025-04-30,2025-05-13,,,,,0.0,9243699.0,,
0013601E,삼성제약 37R,KOSPI,신주인수권증서,보통주,2024-01-25,2024-02-01,,,,,0.0,26968391.0,,
2939401E,신한알파리츠 8R,KOSPI,신주인수권증서,보통주,2024-10-11,2024-10-18,,,,,0.0,32829715.0,,
0030601E,에이프로젠바이오로직스 94R,KOSPI,신주인수권증서,보통주,2024-06-03,2024-06-11,,,,,0.0,65749589.0,,
0076601F,이수페타시스 6R,KOSPI,신주인수권증서,보통주,2025-03-24,2025-03-31,,,,,0.0,9812900.0,,
3505201E,이지스레지던스리츠 5R,KOSPI,신주인수권증서,보통주,2024-09-11,2024-09-23,,,,,0.0,8504575.0,,
3348901F,이지스밸류플러스리츠 6R,KOSPI,신주인수권증서,보통주,2025-09-22,2025-09-29,,,,,0.0,18000197.0,,
1035901D,일진전기 2R,KOSPI,신주인수권증서,보통주,2024-01-05,2024-01-12,,,,,0.0,8474850.0,,
0516301E,진양화학 7R,KOSPI,신주인수권증서,보통주,2024-10-10,2024-10-17,,,,,0.0,5398323.0,,
0089702F,케이비아이동양철관 45R,KOSPI,신주인수권증서,보통주,2025-11-18,2025-11-25,,,,,0.0,23838173.0,,
3571201E,코람코라이프인프라리츠 5R,KOSPI,신주인수권증서,보통주,2024-09-12,2024-09-24,,,,,0.0,8794415.0,,
0036701F,포스코퓨처엠 8R,KOSPI,신주인수권증서,보통주,2025-07-04,2025-07-11,,,,,0.0,9031323.0,,
0696401F,한세엠케이 7R,KOSPI,신주인수권증서,보통주,2025-06-10,2025-06-17,,,,,0.0,11758040.0,,
0188801F,한온시스템 8R,KOSPI,신주인수권증서,보통주,2025-12-04,2025-12-11,,,,,0.0,277934330.0,,
4518001E,한화리츠 3R,KOSPI,신주인수권증서,보통주,2024-10-23,2024-10-30,,,,,0.0,108998122.0,,
0124501F,한화에어로스페이스 23R,KOSPI,신주인수권증서,보통주,2025-06-16,2025-06-23,,,,,0.0,3373784.0,,
0015001F,현대차증권 15R,KOSPI,신주인수권증서,보통주,2025-02-11,2025-02-18,,,,,0.0,27098083.0,,
0933701E,후성 6R,KOSPI,신주인수권증서,보통주,2024-03-25,2024-04-01,,,,,0.0,12851927.0,,
0113321D,유니켐 38WR,KOSPI,신주인수권증권,보통주,2023-02-08,2025-12-26,신주인수권증권 행사기간 및 행사의 만료,,,,0.0,400629.0,011330,유니켐
73501BBC,GB뉴딜기업2호A,KOSPI,수익증권,보통주,2022-03-04,2025-12-15,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,4203524.0,086070,골든브릿지자산운용
73502BBC,GB뉴딜기업2호Ae,KOSPI,수익증권,보통주,2022-03-04,2025-12-15,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,6949639.0,086070,골든브릿지자산운용
010620,HD현대미포,KOSPI,주권,보통주,1983-12-20,2025-12-15,해산 사유 발생,,,운송장비·부품,5000.0,39942149.0,,
75801BBC,IBK국민참여정책형뉴딜혼합자산2호A,KOSPI,수익증권,보통주,2022-03-04,2025-12-15,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,2245225.0,082990,아이비케이자산운용
75802BBC,IBK국민참여정책형뉴딜혼합자산2호C,KOSPI,수익증권,보통주,2022-03-04,2025-12-15,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,1770000.0,082990,아이비케이자산운용
71901BBC,KB국민참여뉴딜2A,KOSPI,수익증권,보통주,2022-03-04,2025-12-15,수익증권 신탁기간의 만료 또는 전액 중도 환수,,,,1000.0,4382130.0,047210,케이비자산운용
