ticker,market,industry
084870,KOSPI,봉제의복 제조업
002710,KOSPI,1차 철강 제조업
089230,KOSDAQ,기타 정보 서비스업
032540,KOSDAQ,영상 및 음향기기 제조업
069260,KOSPI,기타 화학제품 제조업
007980,KOSPI,봉제의복 제조업
048770,KOSDAQ,일반 목적용 기계 제조업
246690,KOSDAQ,신탁업 및 집합투자업
317240,KOSDAQ,기타 화학제품 제조업
002900,KOSPI,특수 목적용 기계 제조업
024070,KOSPI,플라스틱제품 제조업
057030,KOSDAQ,교육지원 서비스업
037270,KOSPI,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
040300,KOSDAQ,"영화, 비디오물, 방송프로그램 제작 및 배급업"
051390,KOSDAQ,상품 종합 도매업
052220,KOSDAQ,영상·오디오물 제공 서비스업
139130,KOSPI,기타 금융업
079940,KOSDAQ,소프트웨어 개발 및 공급업
078890,KOSDAQ,통신 및 방송 장비 제조업
000500,KOSPI,절연선 및 케이블 제조업
399720,KOSDAQ,반도체 제조업
296520,KONEX,생활용품 도매업
036620,KOSDAQ,기타 전문 도매업
000860,KOSPI,기타 화학제품 제조업
198440,KOSDAQ,"시멘트, 석회, 플라스터 및 그 제품 제조업"
217730,KOSDAQ,기초 의약물질 제조업
035250,KOSPI,유원지 및 기타 오락관련 서비스업
114190,KOSDAQ,기타 전기장비 제조업
094480,KOSDAQ,소프트웨어 개발 및 공급업
011420,KOSPI,스포츠 서비스업
039240,KOSDAQ,1차 철강 제조업
053950,KOSDAQ,의약품 제조업
002100,KOSPI,"비료, 농약 및 살균, 살충제 제조업"
009450,KOSPI,가정용 기기 제조업
267290,KOSPI,연료용 가스 제조 및 배관공급업
012320,KOSPI,기타 금융업
011040,KOSDAQ,의약품 제조업
000050,KOSPI,종합 소매업
214390,KOSPI,기초 의약물질 제조업
012610,KOSPI,기초 화학물질 제조업
009140,KOSPI,전자부품 제조업
024910,KOSDAQ,자동차 신품 부품 제조업
013580,KOSPI,토목 건설업
012200,KOSPI,일반 목적용 기계 제조업
002140,KOSPI,"곡물가공품, 전분 및 전분제품 제조업"
049720,KOSDAQ,기타 사업지원 서비스업
010130,KOSPI,1차 비철금속 제조업
002240,KOSPI,1차 철강 제조업
014570,KOSDAQ,의약품 제조업
348150,KOSDAQ,자연과학 및 공학 연구개발업
